date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:52	37292/37292	---MCZ	200	added ('OK')	text/css	etag:%2224779a20a924593c1fdc73e0be506eeb-ssl-df%22	https://ippro.netlify.app/css/jquery-ui.css	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/css/jquery-ui.css	(from https://ippro.netlify.app/css/style.css)
15:46:52	13735/13735	---MCZ	200	added ('OK')	text/css	etag:%22551c6814a406ee061b047e6d875d8418-ssl-df%22	https://ippro.netlify.app/css/jquery.fancybox.min.css	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/css/jquery.fancybox.min.css	(from https://ippro.netlify.app/css/style.css)
15:46:52	772/772	---M--	200	added ('OK')	text/css	etag:%2288820cd13f3e24cb2a5dbcbe8fcf5f27-ssl%22	https://ippro.netlify.app/css/jquery.bootstrap-touchspin.css	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/css/jquery.bootstrap-touchspin.css	(from https://ippro.netlify.app/css/style.css)
15:46:53	42907/42907	---MCZ	200	added ('OK')	text/css	etag:%22ce6025f834642146755dabc5cf5c6cd5-ssl-df%22	https://ippro.netlify.app/css/jquery.mCustomScrollbar.min.css	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/css/jquery.mCustomScrollbar.min.css	(from https://ippro.netlify.app/css/style.css)
15:46:53	5812/5812	---MCZ	200	added ('OK')	image/svg+xml	etag:%223399ce71b21f92bbe9a804995c0f1741-ssl-df%22	https://ippro.netlify.app/images/icons/preloader.svg	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/images/icons/preloader.svg	(from https://ippro.netlify.app/css/style.css)
15:46:54	15811/15811	---M--	200	added ('OK')	image/jpeg	etag:%22638bd294a55d17c2a576cbbf333a4d14-ssl%22	https://ippro.netlify.app/images/background/2.jpg	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/images/background/2.jpg	(from https://ippro.netlify.app/css/style.css)
15:46:55	56123/56123	---M--	200	added ('OK')	image/jpeg	etag:%2287d92e4273759df790de4a3f37e47009-ssl%22	https://ippro.netlify.app/images/background/layer-1-bg.jpg	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/images/background/layer-1-bg.jpg	(from https://ippro.netlify.app/css/style.css)
15:46:55	3154/3154	---MCZ	404	error ('Not%20Found')	text/html	etag:1631963364-ssl-df	https://ippro.netlify.app/images/testimonials/quote.png	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/images/testimonials/quote.51.delayed	(from https://ippro.netlify.app/css/style.css)
15:46:56	15057/15057	---M--	200	added ('OK')	image/png	etag:%222b60afefe08f7610d54e2629f904ba59-ssl%22	https://ippro.netlify.app/images/icons/tick.png	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/images/icons/tick.png	(from https://ippro.netlify.app/css/color-switcher-design.css)
15:46:57	35449/35449	---M--	200	added ('OK')	image/jpeg	etag:%22bc7397ced27829734082385374ef3a61-ssl%22	https://ippro.netlify.app/images/backiprro.jpg	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/images/backiprro.jpg	(from https://ippro.netlify.app/about)
15:46:58	19470/19470	---M--	200	added ('OK')	image/jpeg	etag:%2281c9c71a4f7bd467ec1248d6d8ee590f-ssl%22	https://ippro.netlify.app/images/background/11.jpg	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/images/background/11.jpg	(from https://ippro.netlify.app/about)
15:46:58	39343/39343	---M--	200	added ('OK')	image/jpeg	etag:%229489614cfafb8945854670e40c18c78a-ssl%22	https://ippro.netlify.app/images/background/6.jpg	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/images/background/6.jpg	(from https://ippro.netlify.app/about)
15:46:59	3154/3154	---MCZ	404	error ('Not%20Found')	text/html	etag:1631963364-ssl-df	https://ippro.netlify.app/index-2.html	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/index-2.56.delayed	(from https://ippro.netlify.app/trademark)
15:47:00	65593/65593	---M--	200	added ('OK')	image/jpeg	etag:787974906fa859a5369a51b78b2d8a6d14146de0	https://d33wubrfki0l68.cloudfront.net/318b8e5d617cefe0925bbeb93cff9bb3c36b4e9e/2a6c8/images/tr.jpg	C:/My%20Web%20Sites/Website_IPPro/d33wubrfki0l68.cloudfront.net/318b8e5d617cefe0925bbeb93cff9bb3c36b4e9e/2a6c8/images/tr.jpg	(from https://ippro.netlify.app/trademark)
15:47:00	45789/45789	---M--	200	added ('OK')	image/jpeg	etag:95ab80a5f7d10c3c6554f15055e71c9ba36b2fd5	https://d33wubrfki0l68.cloudfront.net/cf14509805c6d1deaca3a366cb1511f2606d67f2/28a49/images/patent.jpg	C:/My%20Web%20Sites/Website_IPPro/d33wubrfki0l68.cloudfront.net/cf14509805c6d1deaca3a366cb1511f2606d67f2/28a49/images/patent.jpg	(from https://ippro.netlify.app/patent)
15:47:01	40203/40203	---M--	200	added ('OK')	image/jpeg	etag:23c19c0874af3fe87b85c1b8324de5cc6c3d04ed	https://d33wubrfki0l68.cloudfront.net/de594cb2d8e9a7ca9d05e65d053aa6219c0fb275/2c032/images/industrialdesign2.jpg	C:/My%20Web%20Sites/Website_IPPro/d33wubrfki0l68.cloudfront.net/de594cb2d8e9a7ca9d05e65d053aa6219c0fb275/2c032/images/industrialdesign2.jpg	(from https://ippro.netlify.app/industrialdesign)
